,atom,lumo
0,Li,-1.0911810000000002
1,Be,-2.0170174
2,B,-0.30066309999999996
3,N,-0.2827954
4,O,-0.2535247
5,F,-0.23164040000000002
6,Na,-0.7324533000000001
7,Mg,-1.3275428
8,Al,-0.44376519999999997
9,Si,-0.4630544
10,K,-0.7930126
11,Ca,-1.9474817
12,Sc,-1.4678557
13,Ti,-1.4680224
14,V,-1.3451702
15,Cr,-4.273042200000001
16,Mn,-1.1173952
17,Fe,-4.3072144
18,Co,-0.8715496
19,Ni,-0.7576112
20,Cu,-0.6925801
21,Zn,-1.1129704999999999
22,Ga,-0.4936444
23,Ge,-0.5305816
24,As,-0.5332101
25,Rb,-0.734437
26,Sr,-1.2870614
27,Y,-1.4134071000000001
28,Zr,-1.4524569999999999
29,Nb,-1.4341196
30,Mo,-1.1616069
31,Ru,-0.6395879
32,Rh,-3.3640417
33,Pd,-3.3477575
34,Ag,-0.7293487000000001
35,Cd,-1.1808243
36,In,-0.4922595
37,Sn,-0.5400431
38,Sb,-0.5579911
39,Te,-0.5615084
40,Cs,-0.7221757
41,Ba,-2.0256043
42,La,-2.1883001
43,Hf,-1.3972280000000001
44,Ta,-1.3809299
45,W,-3.2910957
46,Re,-1.3062788
47,Os,-1.2164654000000001
48,Ir,-0.9383571
49,Pt,-0.7057722
50,Au,-0.7638054
51,Hg,-1.0424159
52,Tl,-0.5604694
53,Pb,-0.6421293
54,Bi,-0.6894308
